,City,Country,IATA,precio_ida,comp_ida,precio_vuelta,comp_vuelta,precio_total,day0,day1,day2
298,Brussels,Belgium,BRU,85.94,TP,52.21,UX,138.15,"[11.5, 5.6, 89, 'Patchy rain possible', '//cdn.weatherapi.com/weather/64x64/day/176.png']","[12.9, 4.4, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']","[11.5, 4.6, 0, 'Partly cloudy', '//cdn.weatherapi.com/weather/64x64/day/116.png']"
335,Frankfurt,Germany,FRA,166.71,TP,65.89,UX,232.60000000000002,"[11.3, 4.3, 0, 'Partly cloudy', '//cdn.weatherapi.com/weather/64x64/day/116.png']","[13.1, 4.4, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']","[12.2, 3.2, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']"
341,Munich,Germany,MUC,99.71,TP,60.27,UX,159.98,"[8.8, 2.4, 89, 'Patchy rain possible', '//cdn.weatherapi.com/weather/64x64/day/176.png']","[10.6, 0.4, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']","[8.7, 0.8, 0, 'Overcast', '//cdn.weatherapi.com/weather/64x64/day/122.png']"
472,Manchester,United Kingdom,MAN,103.91,TP,112.91,TP,216.82,"[11.0, 6.0, 0, 'Overcast', '//cdn.weatherapi.com/weather/64x64/day/122.png']","[13.8, 9.9, 82, 'Patchy rain possible', '//cdn.weatherapi.com/weather/64x64/day/176.png']","[12.2, 8.2, 88, 'Moderate rain', '//cdn.weatherapi.com/weather/64x64/day/302.png']"
496,London,United Kingdom,LGW,86.16,VY,44.53,UX,130.69,"[11.3, 4.6, 0, 'Partly cloudy', '//cdn.weatherapi.com/weather/64x64/day/116.png']","[14.6, 9.4, 0, 'Cloudy', '//cdn.weatherapi.com/weather/64x64/day/119.png']","[13.8, 9.0, 86, 'Patchy rain possible', '//cdn.weatherapi.com/weather/64x64/day/176.png']"
501,London,United Kingdom,LHR,64.95,IB,97.26,IB,162.21,"[11.3, 5.7, 0, 'Partly cloudy', '//cdn.weatherapi.com/weather/64x64/day/116.png']","[14.8, 8.9, 0, 'Cloudy', '//cdn.weatherapi.com/weather/64x64/day/119.png']","[12.8, 10.1, 74, 'Patchy rain possible', '//cdn.weatherapi.com/weather/64x64/day/176.png']"
573,Amsterdam,Netherlands,AMS,65.71,TP,57.04,UX,122.75,"[12.3, 7.8, 93, 'Patchy rain possible', '//cdn.weatherapi.com/weather/64x64/day/176.png']","[11.7, 6.1, 0, 'Overcast', '//cdn.weatherapi.com/weather/64x64/day/122.png']","[12.5, 7.7, 0, 'Partly cloudy', '//cdn.weatherapi.com/weather/64x64/day/116.png']"
591,Dublin,Ireland,DUB,103.91,TP,64.59,TP,168.5,"[16.1, 7.1, 95, 'Patchy rain possible', '//cdn.weatherapi.com/weather/64x64/day/176.png']","[12.8, 7.8, 88, 'Moderate rain', '//cdn.weatherapi.com/weather/64x64/day/302.png']","[11.0, 6.2, 0, 'Mist', '//cdn.weatherapi.com/weather/64x64/day/143.png']"
600,Copenhagen,Denmark,CPH,72.71,TP,57.32,IB,130.03,"[8.0, 7.0, 82, 'Patchy rain possible', '//cdn.weatherapi.com/weather/64x64/day/176.png']","[10.7, 7.9, 79, 'Patchy rain possible', '//cdn.weatherapi.com/weather/64x64/day/176.png']","[11.0, 9.5, 75, 'Patchy rain possible', '//cdn.weatherapi.com/weather/64x64/day/176.png']"
634,Oslo,Norway,OSL,78.71,TP,71.25,TP,149.95999999999998,"[0.8, -3.0, 0, 'Mist', '//cdn.weatherapi.com/weather/64x64/day/143.png']","[7.1, -0.1, 89, 'Moderate rain', '//cdn.weatherapi.com/weather/64x64/day/302.png']","[6.5, 0.3, 0, 'Cloudy', '//cdn.weatherapi.com/weather/64x64/day/119.png']"
724,Stockholm,Sweden,ARN,73.71,TP,78.26,TP,151.97,"[5.1, 0.2, 86, 'Patchy rain possible', '//cdn.weatherapi.com/weather/64x64/day/176.png']","[5.9, 0.2, 86, 'Heavy rain', '//cdn.weatherapi.com/weather/64x64/day/308.png']","[12.6, 7.1, 77, 'Patchy rain possible', '//cdn.weatherapi.com/weather/64x64/day/176.png']"
1185,Barcelona,Spain,BCN,61.91,UX,38.76,UX,100.66999999999999,"[19.4, 12.3, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']","[18.5, 12.7, 74, 'Patchy rain possible', '//cdn.weatherapi.com/weather/64x64/day/176.png']","[17.7, 14.8, 86, 'Moderate rain', '//cdn.weatherapi.com/weather/64x64/day/302.png']"
1345,Paris,France,CDG,61.95,IB,56.02,IB,117.97,"[12.1, 5.7, 0, 'Partly cloudy', '//cdn.weatherapi.com/weather/64x64/day/116.png']","[12.5, 5.5, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']","[12.9, 5.2, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']"
1483,Milano,Italy,MXP,76.71,TP,54.16,UX,130.87,"[12.2, 6.5, 0, 'Partly cloudy', '//cdn.weatherapi.com/weather/64x64/day/116.png']","[13.1, 5.8, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']","[14.4, 7.2, 0, 'Partly cloudy', '//cdn.weatherapi.com/weather/64x64/day/116.png']"
1513,Rome,Italy,FCO,62.95,IB,61.06,UX,124.01,"[19.0, 14.3, 86, 'Moderate rain', '//cdn.weatherapi.com/weather/64x64/day/302.png']","[19.6, 12.7, 86, 'Patchy rain possible', '//cdn.weatherapi.com/weather/64x64/day/176.png']","[24.1, 14.7, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']"
1544,Prague,Czech Republic,PRG,151.42,TP,109.06,VY,260.48,"[9.7, 4.2, 0, 'Overcast', '//cdn.weatherapi.com/weather/64x64/day/122.png']","[10.5, 3.5, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']","[8.0, 1.1, 0, 'Partly cloudy', '//cdn.weatherapi.com/weather/64x64/day/116.png']"
1570,Vienna,Austria,VIE,74.71,TP,76.21,IB,150.92,"[12.3, 7.0, 0, 'Partly cloudy', '//cdn.weatherapi.com/weather/64x64/day/116.png']","[12.6, 5.3, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']","[12.6, 5.1, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']"
1594,Lisbon,Portugal,LIS,39.95,UX,38.47,UX,78.42,"[21.9, 11.7, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']","[20.8, 13.1, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']","[20.1, 12.1, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']"
1632,Zurich,Switzerland,ZRH,69.95,IB,52.57,UX,122.52000000000001,"[10.0, 1.0, 84, 'Patchy rain possible', '//cdn.weatherapi.com/weather/64x64/day/176.png']","[11.9, -1.3, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']","[8.6, -0.1, 0, 'Sunny', '//cdn.weatherapi.com/weather/64x64/day/113.png']"
